postcode,lat,lon,sub_category
SK6 6DL,53.396107,-2.072611,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
RG10 9XN,51.477921,-0.849179,TRAD_TO_SMART_MEX
CB4 1UF,52.222922,0.154172,TRAD_TO_SMART_MEX
KA26 0EU,55.236894,-4.843208,METER_REMOVAL
EX33 2NW,51.114545,-4.150952,TRAD_TO_SMART_MEX
BA1 7JY,51.409457,-2.307907,MEDIUM_PRESSURE
WF1 2PS,53.696652,-1.503619,NEW_CONNECTION
FK1 4RU,55.996945,-3.8356,SMART_TO_SMART_MEX
HD4 6DJ,53.634864,-1.783807,MEDIUM_PRESSURE
HX6 2QW,53.709745,-1.91232,SMART_TO_SMART_MEX
TR3 6DU,50.262588,-5.110508,TRAD_TO_SMART_MEX
LA5 0RA,54.16843,-2.826928,SMART_TO_SMART_MEX
SW19 2NB,51.414486,-0.184876,TRACE_AND_LABEL
AL5 4EZ,51.823039,-0.354482,TRAD_TO_SMART_MEX
SG5 1PE,51.955748,-0.279078,SMART_TO_SMART_MEX
DL17 9NH,54.699751,-1.514592,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
SO40 4XG,50.888387,-1.455362,MEDIUM_PRESSURE
PR2 6UA,53.782277,-2.670051,METER_REMOVAL
IV2 6EU,57.448437,-4.216901,SMART_TO_SMART_MEX
TN24 0BS,51.133124,0.891994,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
S32 1AW,53.332336,-1.661951,SMART_TO_SMART_MEX
EX34 7EZ,51.177064,-4.177841,SMART_TO_SMART_MEX
CB4 3BX,52.215181,0.113848,TRAD_TO_SMART_MEX
B26 3XE,52.459715,-1.76832,SMART_TO_SMART_MEX
DT6 4RN,50.693627,-2.695563,TRAD_TO_SMART_MEX
DG5 4LB,54.878398,-3.813276,SMART_TO_SMART_MEX
DN36 5FS,53.49268,-0.033026,SMART_TO_SMART_MEX
DL14 6JY,54.650443,-1.687222,SMART_TO_SMART_MEX
HG2 0NB,53.988146,-1.548126,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
LA18 5EP,54.210396,-3.284151,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
RG27 8ZH,51.292854,-0.90815,SMART_TO_SMART_MEX
PO38 1JH,50.594218,-1.210362,SMART_TO_SMART_MEX
NP4 8BW,51.706481,-3.033443,AIHD
EX23 9DQ,50.83111,-4.513966,TRAD_TO_SMART_MEX
CO9 1QF,51.933043,0.632283,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
TQ9 6UA,50.440268,-3.706129,TRAD_TO_SMART_MEX
TD9 8NN,55.456874,-2.680196,TRAD_TO_SMART_MEX
IV36 3XP,57.634465,-3.550807,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
CH5 3EP,53.189978,-3.041366,SMART_TO_SMART_MEX
PO19 5DX,50.850349,-0.784028,SMART_TO_SMART_MEX
ML11 0QD,55.555636,-3.846327,NEW_CONNECTION
B29 5UW,52.442622,-1.978088,METER_REMOVAL
YO51 9RR,54.08341,-1.392267,SMART_TO_SMART_MEX
DH9 9LG,54.878582,-1.756855,SMART_TO_SMART_MEX
PE14 0HQ,52.618946,0.168277,TRAD_TO_SMART_MEX
NP7 8PF,51.877317,-2.864708,SMART_TO_SMART_MEX
LA11 6SA,54.262687,-2.880997,SMART_TO_SMART_MEX
LS25 6LG,53.796107,-1.241099,SMART_TO_SMART_MEX
LE9 7FA,52.572896,-1.319354,TRAD_TO_SMART_MEX
CA27 0AR,54.487345,-3.588324,TRAD_TO_SMART_MEX
SR6 7NF,54.966569,-1.366074,TRAD_TO_SMART_MEX
EX14 4SY,50.847448,-3.202124,SMART_TO_SMART_MEX
SY22 5HG,52.787438,-3.288882,NEW_CONNECTION
PL13 2DB,50.352384,-4.455473,TRAD_TO_SMART_MEX
PE28 2BT,52.333961,-0.112754,TRAD_TO_SMART_MEX
B74 3BH,52.60061,-1.872746,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
NE3 1DD,55.006533,-1.621545,SMART_TO_SMART_MEX
BS40 8UW,51.356332,-2.636306,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
PE28 4JZ,52.374048,-0.269823,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
LS26 0GL,53.746316,-1.504748,SMART_TO_SMART_MEX
SW15 1DT,51.467533,-0.223589,TRAD_TO_SMART_MEX
EH4 6QD,55.973687,-3.304909,TRAD_TO_SMART_MEX
NR14 8LU,52.565555,1.299687,SMART_TO_SMART_MEX
AB32 6PP,57.159782,-2.278133,SMART_TO_SMART_MEX
CB25 9PF,52.273088,0.185978,TRAD_TO_SMART_MEX
WF16 9NF,53.710387,-1.661294,SMART_TO_SMART_MEX
N13 5DQ,51.6151,-0.108634,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
CM13 1RS,51.630787,0.359194,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
TF10 8HE,52.77302,-2.399239,ISOLATOR_SWITCH
PO16 0UU,50.852469,-1.191308,TRAD_TO_SMART_MEX
ST7 3RY,53.113303,-2.290055,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
DD4 6PX,56.472087,-2.956571,NEW_CONNECTION
EH54 9FN,55.867979,-3.537027,SMART_TO_SMART_MEX
S43 1JQ,53.257246,-1.397883,SMART_TO_SMART_MEX
G71 7PT,55.819475,-4.083942,SMART_TO_SMART_MEX
G41 5DJ,55.847429,-4.306755,SMART_TO_SMART_MEX
YO18 7JL,54.241481,-0.775337,TRACE_AND_LABEL
G82 4JE,55.94792,-4.585425,SMART_TO_SMART_MEX
NR30 2QD,52.606072,1.725621,NEW_CONNECTION
EX7 0RA,50.593418,-3.461781,SMART_TO_SMART_MEX
DG6 4DX,54.837047,-4.047693,TRAD_TO_SMART_MEX
PE23 5PQ,53.157063,0.145913,SMART_TO_SMART_MEX
CR7 7LN,51.39629,-0.112858,SMART_TO_SMART_MEX
NR31 6HD,52.55701,1.727488,SMART_TO_SMART_MEX
SK14 3BH,53.451027,-2.055901,THREE_PHASE
TQ13 8QT,50.646046,-3.759204,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
DN36 5FS,53.49268,-0.033026,SMART_TO_SMART_MEX
TD6 9ND,55.6064,-2.729242,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
EH39 5HZ,56.050448,-2.734604,SMART_TO_SMART_MEX
CA1 1HJ,54.894557,-2.927638,TRACE_AND_LABEL
